********************************************************************************
product = Open Liberty 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = D:/devel/tools/wlp/
java.home = C:\Program Files\Java\jre1.8.0_211
java.version = 1.8.0_211
java.runtime = Java(TM) SE Runtime Environment (1.8.0_211-b12)
os = Windows 10 (10.0; amd64) (es_PE)
process = 10252@DESKTOP-DIRMJ0E
********************************************************************************
[04/07/19 16:43:57:747 COT] 00000049 com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[04/07/19 16:43:57:757 COT] 0000004e com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[04/07/19 16:43:57:767 COT] 00000048 com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[04/07/19 16:43:57:785 COT] 0000004d com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[04/07/19 16:43:57:788 COT] 00000047 com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[04/07/19 16:43:58:108 COT] 00000022 org.jboss.weld.Version                                       I WELD-000900: 3.1.0 (Final)
[04/07/19 16:43:58:390 COT] 00000049 org.hibernate.validator.internal.util.Version                I HV000001: Hibernate Validator 6.0.13.Final
[04/07/19 16:43:58:502 COT] 0000004c com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Se ha generado automáticamente un archivo de configuración para un plug-in de servidor web para este servidor en D:\devel\tools\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[04/07/19 16:44:00:125 COT] 00000047 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: La memoria caché dinámica (memoria caché de objeto) se ha inicializado correctamente.
[04/07/19 16:44:00:256 COT] 0000004a org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[04/07/19 16:44:00:259 COT] 00000048 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[04/07/19 16:44:00:264 COT] 0000004d org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[04/07/19 16:44:00:266 COT] 00000047 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[04/07/19 16:44:00:274 COT] 00000049 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[04/07/19 16:44:00:379 COT] 0000004e org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[04/07/19 16:44:01:245 COT] 00000048 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.metrics.private] [/metrics] [PrivateMetricsRESTProxyServlet]: Inicialización satisfactoria.
[04/07/19 16:44:01:270 COT] 0000004e com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [com.ibm.ws.microprofile.openapi] [/openapi] [OpenAPIServlet]: Inicialización satisfactoria.
[04/07/19 16:44:03:822 COT] 00000020 org.apache.cxf.management.jmx.InstrumentationManagerImpl     I registering MBean org.apache.cxf:bus.id=security-Server-Bus,type=Bus,instance.id=291176836: org.apache.cxf.bus.ManagedBus@13845e0d
[04/07/19 16:44:03:925 COT] 00000020 org.apache.cxf.management.jmx.InstrumentationManagerImpl     I registered org.apache.cxf:bus.id=security-Server-Bus,type=Bus,instance.id=291176836
[04/07/19 16:44:04:408 COT] 0000001d org.apache.cxf.management.jmx.InstrumentationManagerImpl     I registering MBean org.apache.cxf:bus.id=softswitch-Server-Bus,type=Bus,instance.id=210057043: org.apache.cxf.bus.ManagedBus@18077679
[04/07/19 16:44:04:446 COT] 0000001d org.apache.cxf.management.jmx.InstrumentationManagerImpl     I registered org.apache.cxf:bus.id=softswitch-Server-Bus,type=Bus,instance.id=210057043
